Item;Qty;Reference(s);Value;LCSC/JLC Part Number;Mouser Part Number
1;3;C1, C2, C7;22uF/6.3V/20%/X5R/C0603;C2991805;81-GRM188R60J226ME0D
2;1;C3;1nF/2000V/10%/X7R/C1206;C725573;710-885342208024
3;9;C4, C6, C9, C10, C11, C12, C13, C25, C27;100nF/16V/10%/X7R/C0402;C1525;81-GRM155R71C104KA8J
4;1;C5;56pF 25V ;C107007;
5;1;C14;47uF 16V 1210;C2918513;
6;3;C15, C34, C37;100nF/100V/10%/X7R/C0805;C28233;810-C2012X7R2A104K
7;1;C18;22uF 25V ;C602037;
8;1;C26;2.2uF/6.3V/10%/X5R/C0603;C412627;81-GCM188R70J225KE2D
9;1;C31;1uF/10V/10%/X5R/C0603;C3000819;77-VJ0603Y105KXQCWBC
10;1;C35;15uF/100V/20%;C442918;661-EKYB101E150MF11D
11;1;C38;12pF/50V/5%/COG/C0402;C386126;963-UMK105CG120JVHF
12;1;C39;470uF/16V/20%/Low_ESR/RM3.5/8.0x15mm;C428866;NA
13;10;D1, D3, D5, D7, D8, D9, D10, D11, D12, D16;B5819W;C64885;
14;1;D2;SMAJ58A/SMA;C151246;576-SMAJ58A
15;1;D4;SS510/100V/5A/0.85V/DO214AB(SMC);C2985020;750-SS510C-HF
16;1;D6;STS232120B301;C2985651;947-SM712.TCT
17;1;D13;SS34;C408258;
18;2;D14, D15;MB10S;C2892569;
19;1;FET1;WPM2015-3/TR;C6562215;637-MMFTP3401
20;2;IC2, IC3;VOD207T;C146234;78-VOD207T
21;1;IC4;THVD1420DR;C3235215;595-THVD1420DR
22;1;J2;1984963;C7467028;651-1984963
23;1;J3;0826-1X1T-GH-F;;530-0826-1X1T-GH-F
24;1;J4;USB_C_Receptacle_USB2.0;C709357;USB4105-GF-A
25;1;J5;1985069;C7470124;651-1985069
26;1;J6;1985001;C7467032;651-1985001
28;2;K1, K2;G5Q-1-DC12;C59752;653-G5Q-1-DC12
29;1;L1;Sunlord MWSA1004S-330MT;C408490;994-DO3316P-333MLD
30;1;L2;FB0805/600R/2A;C81034;810-MPZ2012S601ATD25
31;1;L3;10uH 3.5A 55mR;C168076;
32;2;LED1, LED2;LED/BLUE/0603;C2962098;710-150060VS75000
37;1;PS1;TPS54202DDCR;C191884;595-TPS54202DDCR
38;5;Q1, Q2, Q3, Q4, Q5;BC817-40(SOT23);C146798;637-BC817-40
39;11;R1, R5, R7, R21, R26, R27, R33, R34, R35, R36, R37;1k/R0603;C73797;652-CR0603AFX1001ELF
40;4;R2, R6, R14, R16;1.2kR/5%/1W/2512/CR2512-JW-122ELF;C2974106;652-CR2512-JW-122ELF
41;2;R3, R17;2.2k/R0402;C4202009;71-CRCW04022K20JNEDC
42;6;R4, R19, R22, R23, R24, R30;10k/R0402;C3020235;71-RCS040210K0FKED
43;4;R8, R9, R10, R12;49.9R/1%/R0402;C854345;667-ERJ-2RKF49R9X
44;2;R11, R38;5.1k/R0402;C105872;
45;3;R13, R15, R25;220R/R0402;C284422;652-CR0402JW-221GLF
46;2;R18, R32;470R/R0603;C844564;71-CRCW0603470RFKEAC
47;1;R20;12.1k/1%/R0603;C2930059;652-CR0603FX-1212ELF
48;2;R28, R31;10R/5%/pulse resistor/0603;C319920;279-CPF0603F10RC1
49;1;R29;130k/R0402;C102797;652-CR0402FX-1303GLF
50;1;R39;22.1kR 0402;C163478;
51;1;R42;100kR 0402;C60491;
52;1;R43;24.9k/1%/R0402;C852664;652-CR0402FX-2492GLF
53;1;R47;180k/1%/R0402;C364850;652-CR0402FX-1803GLF
54;1;R48;4.42k/1%/1/16W/R0402;C103045;652-CR0402-FX4421GLF
55;1;R49;4.7k/R2512;C269368;652-CR2512-JW-472ELF
56;1;R53;0.03R/1%/R1206;C875624;71-WSL1206R0300FEA
57;1;R55;4.7R/R0402;C514781;652-CR0402-J/-4R7GLF
58;1;R59;21k/1%/R0402;C2692912;652-CR0402-FX2102GLF
59;1;R60;300k/1%/R0402;C364989;652-CR0402-JW-304GLF
60;1;Reset1;T1107A(6x3,8x2,5MM);C97440;
61;2;RN1, RN2;2.2k/5%/0603x4;C102658;652-CAT16A-222J4LF
62;1;T1;LMUN2211LT1G(SOT-23);C12775;
63;1;TVS2;ESDS314DBVR(SOT-23-6);C1847859;595-ESDS314DBVR
64;1;U1;LAN8710A-EZC(QFN32);C46185;886-LAN8710A-EZC-TR
65;1;U2;CH340C;C84681;
66;1;U3;ESP-WROOM-32;C701341;356-ESP32WRM32E132PH
67;1;U6;TPS2376DDAR-H (SO-8);C544899;595-TPS2376D
68;1;U7;TX4138(ESOIC-8);C329267;
